CHMOD.EXE-D8BA621A.pf,1/5/2018 9:52:12 AM,1/5/2018 9:52:44 AM,"1,940",CHMOD.EXE,C:\cygwin64\bin\chmod.exe,10,"1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM, 1/5/2018 9:52:44 AM",No
CHXSMARTSCREEN.EXE-53E7BF87.pf,1/8/2018 9:50:39 AM,1/8/2018 10:13:21 AM,"24,143",CHXSMARTSCREEN.EXE,C:\Windows\SYSTEMAPPS\MICROSOFT.WINDOWS.APPREP.CHXAPP_CW5N1H2TXYEWY\CHXSMARTSCREEN.EXE,2,"1/8/2018 10:13:18 AM, 1/8/2018 9:50:30 AM",No
CL.EXE-EEF2CAEC.pf,12/14/2017 10:37:26 AM,1/5/2018 9:16:53 AM,"13,544",CL.EXE,C:\Users\STRATARXIS\AppData\Local\Programs\Common\MICROSOFT\VISUAL C++ FOR PYTHON\9.0\VC\bin\amd64\cl.exe,26,"1/5/2018 9:16:52 AM, 1/5/2018 9:08:24 AM, 1/5/2018 9:02:22 AM, 1/5/2018 9:00:11 AM, 1/5/2018 8:52:54 AM, 1/5/2018 8:31:32 AM, 1/5/2018 8:26:52 AM, 1/5/2018 8:16:25 AM",No
CMD.EXE-4A81B364.pf,12/7/2017 8:38:43 AM,1/12/2018 9:33:37 AM,"3,511",CMD.EXE,C:\Windows\System32\cmd.exe,127,"1/12/2018 9:33:27 AM, 1/12/2018 9:33:22 AM, 1/12/2018 8:08:27 AM, 1/12/2018 8:08:27 AM, 1/12/2018 8:08:28 AM, 1/12/2018 8:08:28 AM, 1/12/2018 8:08:28 AM, 1/10/2018 12:47:22 PM",No
CMD.EXE-AC113AA8.pf,1/5/2018 9:48:23 AM,1/5/2018 9:48:24 AM,"3,482",CMD.EXE,C:\Windows\SysWOW64\cmd.exe,6,"1/5/2018 9:48:23 AM, 1/5/2018 9:48:24 AM, 1/5/2018 9:48:24 AM, 1/5/2018 9:48:19 AM, 1/5/2018 9:48:23 AM, 1/5/2018 9:48:23 AM",No
COMPATTELRUNNER.EXE-DB97728F.pf,12/8/2017 10:51:29 AM,1/12/2018 8:51:29 AM,"3,384",COMPATTELRUNNER.EXE,C:\WINDOWS\SYSTEM32\COMPATTELRUNNER.EXE,20,"1/12/2018 8:51:19 AM, 1/10/2018 11:09:10 AM, 1/9/2018 8:49:51 AM, 1/8/2018 11:00:20 AM, 1/8/2018 10:44:13 AM, 1/8/2018 7:49:42 AM, 1/5/2018 9:48:25 AM, 1/4/2018 12:49:58 PM",Yes
CONHOST.EXE-1F3E9D7E.pf,12/7/2017 8:08:45 AM,1/12/2018 10:25:07 AM,"4,416",CONHOST.EXE,C:\WINDOWS\SYSTEM32\CONHOST.EXE,186,"1/12/2018 10:25:07 AM, 1/12/2018 10:18:50 AM, 1/12/2018 10:08:14 AM, 1/12/2018 10:00:54 AM, 1/12/2018 9:45:52 AM, 1/12/2018 9:33:16 AM, 1/12/2018 9:13:55 AM, 1/12/2018 9:04:57 AM",Yes
CONSENT.EXE-531BD9EA.pf,12/7/2017 9:01:24 AM,1/12/2018 10:07:03 AM,"35,755",CONSENT.EXE,C:\WINDOWS\SYSTEM32\CONSENT.EXE,70,"1/12/2018 10:07:03 AM, 1/12/2018 9:33:21 AM, 1/10/2018 12:47:21 PM, 1/10/2018 8:06:10 AM, 1/10/2018 7:21:02 AM, 1/10/2018 7:11:32 AM, 1/9/2018 2:34:52 PM, 1/9/2018 12:31:22 PM",Yes
CONTROL.EXE-817F8F1D.pf,1/4/2018 11:25:05 AM,1/8/2018 11:01:38 AM,"9,198",CONTROL.EXE,C:\Windows\System32\control.exe,6,"1/8/2018 11:01:38 AM, 1/5/2018 9:07:13 AM, 1/5/2018 8:58:17 AM, 1/5/2018 8:30:39 AM, 1/5/2018 8:15:30 AM, 1/4/2018 11:25:05 AM",No
CP.EXE-50C58E9A.pf,1/5/2018 9:52:46 AM,1/5/2018 9:52:47 AM,"2,515",CP.EXE,C:\cygwin64\bin\cp.exe,10,"1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM",No
CSRSS.EXE-3FE41F7E.pf,1/5/2018 2:30:32 PM,1/12/2018 7:34:43 AM,"5,470",CSRSS.EXE,C:\WINDOWS\SYSTEM32\CSRSS.EXE,4,"1/10/2018 2:47:26 PM, 1/9/2018 2:56:21 PM, 1/8/2018 2:53:17 PM, 1/5/2018 2:30:20 PM",Yes
CTFMON.EXE-9450846B.pf,12/7/2017 3:05:38 PM,1/10/2018 7:09:53 AM,"9,625",CTFMON.EXE,C:\Windows\System32\ctfmon.exe,26,"1/10/2018 7:09:42 AM, 1/9/2018 2:56:22 PM, 1/9/2018 7:23:42 AM, 1/8/2018 7:18:37 AM, 1/5/2018 7:36:53 AM, 1/4/2018 2:53:36 PM, 1/4/2018 7:13:43 AM, 1/3/2018 2:52:55 PM",No
CUT.EXE-9962FA9D.pf,1/8/2018 10:18:30 AM,1/10/2018 2:19:11 PM,"2,088",CUT.EXE,C:\PROGRAM FILES\Git\usr\bin\cut.exe,2,"1/10/2018 2:19:11 PM, 1/8/2018 10:18:30 AM",No
CYGWIN-CONSOLE-HELPER.EXE-1A4D7B9F.pf,1/8/2018 10:18:28 AM,1/10/2018 2:19:08 PM,"1,639",CYGWIN-CONSOLE-HELPER.EXE,C:\PROGRAM FILES\Git\usr\bin\CYGWIN-CONSOLE-HELPER.EXE,2,"1/10/2018 2:19:08 PM, 1/8/2018 10:18:28 AM",No
DASH.EXE-C6FB347B.pf,1/5/2018 9:52:11 AM,1/5/2018 9:52:21 AM,"3,983",,,12,"1/5/2018 9:52:11 AM, 1/5/2018 9:52:10 AM, 1/5/2018 9:52:12 AM, 1/5/2018 9:52:12 AM, 1/5/2018 9:52:11 AM, 1/5/2018 9:52:12 AM, 1/5/2018 9:52:11 AM, 1/5/2018 9:52:11 AM",No
DATAEXCHANGEHOST.EXE-BE987727.pf,12/7/2017 8:37:48 AM,1/12/2018 7:38:38 AM,"21,583",DATAEXCHANGEHOST.EXE,C:\WINDOWS\SYSTEM32\DATAEXCHANGEHOST.EXE,30,"1/12/2018 7:38:27 AM, 1/8/2018 7:26:32 AM, 1/5/2018 9:15:38 AM, 1/5/2018 9:00:37 AM, 1/4/2018 2:15:56 PM, 1/4/2018 12:05:17 PM, 1/4/2018 11:44:35 AM, 1/4/2018 11:37:58 AM",Yes
DEFRAG.EXE-588F90AD.pf,12/7/2017 12:48:07 PM,1/12/2018 7:45:37 AM,"3,723",DEFRAG.EXE,C:\WINDOWS\SYSTEM32\DEFRAG.EXE,13,"1/12/2018 7:45:27 AM, 1/8/2018 12:19:44 PM, 1/5/2018 7:56:41 AM, 1/2/2018 7:23:09 AM, 12/28/2017 7:53:47 AM, 12/28/2017 7:40:43 AM, 12/14/2017 12:49:33 PM, 12/11/2017 11:35:14 AM",Yes
DIRNAME.EXE-75925F4B.pf,1/5/2018 9:52:46 AM,1/5/2018 9:52:47 AM,"1,910",DIRNAME.EXE,C:\cygwin64\bin\dirname.exe,10,"1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:47 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM",No
DLLHOST.EXE-02C8B80F.pf,1/8/2018 10:15:13 AM,1/12/2018 8:24:34 AM,"7,385",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,18,"1/12/2018 8:24:24 AM, 1/9/2018 1:07:53 PM, 1/9/2018 12:57:52 PM, 1/9/2018 12:45:40 PM, 1/9/2018 12:32:25 PM, 1/9/2018 12:11:14 PM, 1/9/2018 11:53:43 AM, 1/9/2018 11:48:00 AM",No
DLLHOST.EXE-0AD6AC16.pf,1/12/2018 8:05:09 AM,1/12/2018 8:05:09 AM,"4,983",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,1,1/12/2018 8:04:59 AM,No
DLLHOST.EXE-1EA744B6.pf,1/4/2018 11:25:10 AM,1/8/2018 11:01:43 AM,"6,335",DLLHOST.EXE,C:\Windows\SysWOW64\dllhost.exe,9,"1/8/2018 11:01:38 AM, 1/8/2018 10:34:48 AM, 1/5/2018 10:06:09 AM, 1/5/2018 10:06:01 AM, 1/5/2018 9:07:14 AM, 1/5/2018 8:58:17 AM, 1/5/2018 8:30:39 AM, 1/5/2018 8:15:30 AM",No
DLLHOST.EXE-23C0FE44.pf,1/8/2018 10:39:56 AM,1/9/2018 9:59:35 AM,"4,388",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,2,"1/9/2018 9:59:30 AM, 1/8/2018 10:39:51 AM",No
DLLHOST.EXE-2E884D3E.pf,12/7/2017 8:27:23 AM,1/12/2018 10:16:43 AM,"4,074",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,160,"1/12/2018 10:16:38 AM, 1/12/2018 9:48:42 AM, 1/12/2018 9:26:17 AM, 1/12/2018 8:05:24 AM, 1/10/2018 2:47:18 PM, 1/10/2018 2:19:04 PM, 1/10/2018 10:03:20 AM, 1/10/2018 9:47:30 AM",No
DLLHOST.EXE-41467C2F.pf,12/8/2017 7:18:59 AM,12/8/2017 7:18:59 AM,"8,193",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,1,12/8/2017 7:18:49 AM,No
DLLHOST.EXE-5A984E5F.pf,1/8/2018 7:21:23 AM,1/12/2018 8:05:34 AM,"8,828",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,4,"1/12/2018 8:05:24 AM, 1/10/2018 7:11:27 AM, 1/9/2018 7:24:49 AM, 1/8/2018 7:21:13 AM",No
DLLHOST.EXE-6834844E.pf,1/10/2018 10:41:47 AM,1/10/2018 10:53:44 AM,"9,869",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,8,"1/10/2018 10:53:36 AM, 1/10/2018 10:53:02 AM, 1/10/2018 10:52:54 AM, 1/10/2018 10:52:25 AM, 1/10/2018 10:42:05 AM, 1/10/2018 10:41:57 AM, 1/10/2018 10:41:48 AM, 1/10/2018 10:41:41 AM",No
DLLHOST.EXE-88F23425.pf,12/7/2017 9:00:07 AM,1/12/2018 7:38:12 AM,"5,891",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,25,"1/12/2018 7:38:07 AM, 1/10/2018 8:52:13 AM, 1/10/2018 7:13:04 AM, 1/9/2018 8:30:39 AM, 1/9/2018 7:33:25 AM, 1/9/2018 7:26:45 AM, 1/8/2018 7:22:01 AM, 1/5/2018 7:40:12 AM",No
DLLHOST.EXE-9037274D.pf,12/7/2017 8:27:46 AM,1/12/2018 10:05:37 AM,"7,868",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,311,"1/12/2018 10:05:32 AM, 1/12/2018 9:59:59 AM, 1/12/2018 9:50:55 AM, 1/12/2018 9:12:55 AM, 1/12/2018 8:59:12 AM, 1/12/2018 8:08:52 AM, 1/12/2018 7:43:12 AM, 1/12/2018 7:36:58 AM",No
DLLHOST.EXE-9C376A75.pf,12/7/2017 2:00:33 PM,1/5/2018 10:08:08 AM,"16,529",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,7,"1/5/2018 10:08:02 AM, 12/12/2017 9:28:14 AM, 12/11/2017 1:42:17 PM, 12/11/2017 1:21:05 PM, 12/7/2017 2:16:06 PM, 12/7/2017 2:01:16 PM, 12/7/2017 2:00:23 PM",No
DLLHOST.EXE-A853C612.pf,12/7/2017 8:09:09 AM,1/12/2018 10:07:08 AM,"4,009",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,154,"1/12/2018 10:07:03 AM, 1/12/2018 9:33:22 AM, 1/12/2018 9:33:22 AM, 1/12/2018 7:37:47 AM, 1/12/2018 7:34:49 AM, 1/12/2018 7:34:48 AM, 1/10/2018 12:47:22 PM, 1/10/2018 12:47:22 PM",No
DLLHOST.EXE-B43976F9.pf,1/12/2018 10:07:09 AM,1/12/2018 10:07:09 AM,"6,318",DLLHOST.EXE,C:\Windows\System32\dllhost.exe,1,1/12/2018 10:07:03 AM,No
