20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_tophat.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_triton.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_turbo_campaign.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_turla.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_turla_gazer.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_turla_mosquito.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_turla_neuron.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_uboat_rat.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_unit78020_malware.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_uscert_ta17-1117a.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_venom_linux_rootkit.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_volatile_cedar.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_vpnfilter.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_waterbear.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_waterbug.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_webmonitor_rat.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_webshell_chinachopper.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_wildneutron.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_wilted_tulip.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_win_plugx.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_winnti.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_winnti_burning_umbrella.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_winnti_hdroot.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_winnti_ms_report_201701.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_woolengoldfish.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_xrat.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_zxshell.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: cn_pentestset_scripts.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: cn_pentestset_tools.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: cn_pentestset_webshells.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_andromeda_jun17.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_antifw_installrex.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_bad_patch.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_badrabbit.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_bernhard_pos.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_buzus_softpulse.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_cmstar.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: crime_cn_campaign_njrat.yar
